index,round,team,opponent_team,prev_team_ranking,team_ranking_diff,opponent_ranking,was_home,team_h_score,team_a_score,clean_sheets,goals_scored,season,team_name
146,9,18,16,3.0,1.0,2.0,False,0,0,True,False,2016-17,WAT
1410,9,16,18,2.0,-1.0,3.0,True,0,0,True,False,2016-17,SWA
147,10,18,7,3.0,1.0,2.0,True,1,0,True,True,2016-17,WAT
223,10,7,18,2.0,-1.0,3.0,False,1,0,False,False,2016-17,HUL
148,11,18,9,3.0,-2.0,5.0,False,6,1,False,True,2016-17,WAT
376,11,9,18,5.0,2.0,3.0,True,6,1,False,True,2016-17,LIV
149,12,18,8,3.0,1.0,2.0,True,2,1,False,True,2016-17,WAT
807,12,8,18,2.0,-1.0,3.0,False,2,1,False,True,2016-17,LEI
150,13,18,14,3.0,1.0,2.0,True,0,1,False,False,2016-17,WAT
3352,13,14,18,2.0,-1.0,3.0,False,0,1,True,True,2016-17,STO
151,14,18,19,3.0,0.0,3.0,False,3,1,False,True,2016-17,WAT
1242,14,19,18,3.0,0.0,3.0,True,3,1,False,True,2016-17,WBA
153,16,18,10,3.0,-1.0,4.0,False,2,0,False,False,2016-17,WAT
989,16,10,18,4.0,1.0,3.0,True,2,0,True,True,2016-17,MCI
420,17,15,18,2.0,-1.0,3.0,True,1,0,True,True,2016-17,SUD
154,17,18,15,3.0,1.0,2.0,False,1,0,False,False,2016-17,WAT
156,19,18,17,3.0,-1.0,4.0,True,1,4,False,True,2016-17,WAT
1309,19,17,18,4.0,1.0,3.0,False,1,4,False,True,2016-17,TOT
157,20,18,14,3.0,1.0,2.0,False,2,0,False,False,2016-17,WAT
3359,20,14,18,2.0,-1.0,3.0,True,2,0,True,True,2016-17,STO
158,21,18,12,2.0,0.0,2.0,True,0,0,True,False,2016-17,WAT
272,21,12,18,2.0,0.0,2.0,False,0,0,True,False,2016-17,MID
159,22,18,2,2.0,-1.0,3.0,False,2,2,False,True,2016-17,WAT
311,22,2,18,3.0,1.0,2.0,True,2,2,False,True,2016-17,BOU
161,24,18,3,2.0,-1.0,3.0,True,2,1,False,True,2016-17,WAT
856,24,3,18,3.0,1.0,2.0,False,2,1,False,True,2016-17,BUR
162,25,18,11,3.0,-1.0,4.0,False,2,0,False,False,2016-17,WAT
1593,25,11,18,4.0,1.0,3.0,True,2,0,True,True,2016-17,MUN
164,27,18,13,2.0,-1.0,3.0,True,3,4,False,True,2016-17,WAT
